Person1,Person2,type
677,2735,acquaintance
985,1796,best friend
2053,821,acquaintance
1199,1509,acquaintance
2006,1750,acquaintance
823,2233,friend
2190,426,acquaintance
32,2364,acquaintance
2619,1769,acquaintance
668,1107,friend
1098,2549,acquaintance
2818,1394,acquaintance
1653,1438,acquaintance
1085,879,acquaintance
1897,420,acquaintance
666,1577,acquaintance
2169,845,friend
1360,852,acquaintance
1209,980,acquaintance
104,2743,friend
1858,2929,best friend
959,420,friend
1960,2078,friend
1091,2138,friend
2123,1686,acquaintance
2545,2076,friend
1230,1066,acquaintance
2569,289,acquaintance
438,937,friend
2115,1902,acquaintance
1255,2199,friend
1283,361,friend
1999,870,acquaintance
758,95,acquaintance
531,1232,friend
491,1151,friend
2906,1609,acquaintance
221,1999,acquaintance
2227,1900,acquaintance
2288,519,acquaintance
1114,2145,friend
736,526,acquaintance
1871,1255,acquaintance
326,291,acquaintance
1977,580,acquaintance
1091,1374,friend
2478,1031,acquaintance
466,1300,acquaintance
949,1290,acquaintance
419,1080,acquaintance
847,2003,friend
1223,2549,acquaintance
2313,2781,acquaintance
197,1100,friend
1394,353,acquaintance
2799,858,friend
1767,1047,friend
1211,677,acquaintance
1915,2258,friend
743,2889,friend
2342,2902,acquaintance
1108,1514,acquaintance
1654,1393,acquaintance
1165,2022,friend
1836,2451,acquaintance
2988,2138,acquaintance
1244,727,friend
1458,2076,best friend
2992,244,best friend
1693,2883,acquaintance
852,1725,acquaintance
513,1649,friend
1568,1651,acquaintance
2955,1641,acquaintance
2076,898,acquaintance
2191,1733,acquaintance
360,1217,acquaintance
0,433,acquaintance
995,1521,friend
2570,391,acquaintance
2390,2295,acquaintance
2431,60,acquaintance
2939,1436,acquaintance
1503,64,friend
2194,513,friend
434,2962,acquaintance
703,526,acquaintance
889,1505,acquaintance
2397,741,friend
1657,384,friend
477,254,acquaintance
1300,1138,friend
2754,1015,friend
1390,1075,friend
1507,2530,friend
1109,1733,friend
31,1481,acquaintance
2464,747,acquaintance
2592,1463,friend
2826,2624,acquaintance
431,1851,acquaintance
2377,1664,best friend
1805,2133,acquaintance
2227,40,acquaintance
2534,32,acquaintance
64,1277,acquaintance
1176,808,friend
171,2006,acquaintance
303,2828,best friend
297,415,friend
1149,1732,acquaintance
1634,19,acquaintance
1606,1767,friend
753,1255,friend
2977,884,acquaintance
1610,564,friend
623,1651,acquaintance
703,1577,acquaintance
2460,663,acquaintance
1900,1797,best friend
248,147,acquaintance
2641,1625,acquaintance
1769,858,best friend
815,2357,acquaintance
356,1108,acquaintance
507,1239,friend
2316,2821,best friend
214,1297,acquaintance
2306,870,acquaintance
2155,522,friend
883,1151,acquaintance
759,2214,acquaintance
303,27,acquaintance
2567,243,acquaintance
694,2692,acquaintance
2620,921,acquaintance
1460,1602,friend
2324,1504,acquaintance
2596,542,friend
537,288,acquaintance
562,1688,friend
2567,288,acquaintance
1102,418,acquaintance
1733,2534,acquaintance
879,1783,acquaintance
1531,532,acquaintance
1908,2024,best friend
793,2724,acquaintance
2331,1854,best friend
1828,2312,acquaintance
2628,2058,friend
368,2915,acquaintance
1997,868,acquaintance
251,217,friend
1359,2285,friend
2837,2883,friend
1755,1331,acquaintance
540,466,acquaintance
1651,2377,acquaintance
2331,2573,acquaintance
361,569,acquaintance
2232,459,acquaintance
2323,530,acquaintance
1796,1490,friend
2954,1732,acquaintance
824,2318,acquaintance
1649,2883,acquaintance
534,898,best friend
2083,438,acquaintance
1236,1413,friend
2232,1381,acquaintance
1517,2995,acquaintance
810,2661,acquaintance
2901,2534,acquaintance
1140,2281,friend
1686,2637,acquaintance
1891,62,friend
1004,469,acquaintance
160,580,acquaintance
571,138,friend
1334,1360,best friend
2415,1430,friend
492,1853,friend
672,1980,friend
2306,1027,acquaintance
506,1479,acquaintance
1374,2444,acquaintance
486,2323,acquaintance
2490,2637,friend
2703,1315,best friend
1014,916,friend
1548,260,acquaintance
653,734,acquaintance
2564,734,acquaintance
665,76,acquaintance
734,237,friend
425,2567,best friend
268,2140,acquaintance
2326,2031,friend
2953,2568,friend
2635,747,acquaintance
1674,2879,friend
2887,1545,acquaintance
2354,1975,best friend
2735,949,acquaintance
1823,1991,friend
851,86,best friend
2255,1766,best friend
887,1509,acquaintance
1366,2899,best friend
2209,1376,friend
1504,601,acquaintance
391,368,acquaintance
820,2692,acquaintance
168,2033,acquaintance
1711,1623,friend
2750,2311,acquaintance
417,1120,acquaintance
2901,2361,best friend
243,1511,friend
1960,1988,acquaintance
1991,832,friend
740,361,acquaintance
2892,415,friend
2992,2651,acquaintance
1438,479,friend
807,653,acquaintance
1962,344,acquaintance
689,1566,friend
1393,105,acquaintance
1236,1598,acquaintance
647,753,acquaintance
1516,2003,friend
1152,2721,acquaintance
349,2476,friend
1897,1598,friend
2596,460,friend
19,1939,acquaintance
2879,297,acquaintance
1041,1357,acquaintance
2324,1509,acquaintance
748,2929,acquaintance
953,683,acquaintance
820,1000,acquaintance
82,603,acquaintance
1623,1429,acquaintance
2872,814,friend
173,2233,friend
2617,2978,friend
2826,2747,friend
1284,2472,friend
2707,1386,acquaintance
916,2285,acquaintance
2399,1230,acquaintance
577,1913,acquaintance
1977,2227,best friend
1989,321,friend
245,975,acquaintance
2596,365,friend
1283,1769,acquaintance
2602,2219,friend
2818,666,acquaintance
1854,2190,acquaintance
2191,1781,acquaintance
2651,1504,friend
526,1374,friend
1892,1263,friend
2883,2058,acquaintance
60,1801,acquaintance
2734,1641,acquaintance
1076,1766,acquaintance
1579,1740,friend
2002,2696,best friend
1269,2444,acquaintance
776,2181,acquaintance
1686,2820,friend
2735,1213,acquaintance
873,2490,best friend
1297,2338,acquaintance
981,2995,acquaintance
2559,1491,acquaintance
2047,1657,friend
1052,38,acquaintance
2095,1513,acquaintance
1850,2588,acquaintance
1860,1908,acquaintance
506,2192,acquaintance
2929,2070,friend
2364,1977,best friend
2973,956,acquaintance
1505,310,acquaintance
2793,1176,acquaintance
2476,2902,friend
2379,434,best friend
1029,636,friend
852,2268,acquaintance
1776,760,acquaintance
2070,1854,acquaintance
2670,867,friend
2193,1750,friend
1269,100,acquaintance
815,1354,best friend
577,386,acquaintance
2950,415,acquaintance
1252,1109,friend
489,2927,acquaintance
2000,760,acquaintance
741,2915,acquaintance
1542,2889,friend
1538,318,acquaintance
336,1909,acquaintance
1579,2450,friend
741,1545,friend
2357,243,acquaintance
821,2225,acquaintance
210,2138,acquaintance
1991,207,acquaintance
2934,1858,acquaintance
1641,104,acquaintance
807,1864,acquaintance
2006,2503,acquaintance
2479,1898,acquaintance
1577,1513,acquaintance
184,1962,acquaintance
633,1994,friend
543,886,acquaintance
1872,873,acquaintance
1447,2938,acquaintance
1120,177,friend
1374,2903,acquaintance
1138,2651,acquaintance
951,445,friend
1509,1749,friend
1783,868,friend
1000,887,friend
2154,1491,friend
531,530,acquaintance
2924,1176,best friend
2302,2255,acquaintance
2621,1094,acquaintance
1634,1185,acquaintance
2095,1138,acquaintance
571,173,acquaintance
1725,647,friend
1004,2002,acquaintance
2024,585,acquaintance
1980,340,friend
1674,2145,friend
2395,2621,friend
2354,946,friend
1609,2954,acquaintance
1832,2678,friend
2190,2183,friend
601,2799,friend
2818,683,friend
1138,140,friend
2451,65,acquaintance
433,1004,acquaintance
1315,1099,friend
2929,2339,acquaintance
318,1448,acquaintance
310,1713,friend
683,1756,friend
69,2810,friend
1354,532,acquaintance
554,298,acquaintance
1127,1002,acquaintance
636,2486,acquaintance
2477,2624,friend
538,2129,best friend
2977,697,acquaintance
2690,2482,friend
1209,237,acquaintance
2637,355,friend
1221,587,acquaintance
1246,1832,acquaintance
2334,1221,acquaintance
1590,1823,acquaintance
375,2070,acquaintance
1185,1838,friend
217,741,acquaintance
1283,349,acquaintance
1913,1654,friend
1333,217,friend
2183,1152,best friend
1693,2331,friend
1988,2479,acquaintance
1740,672,friend
1776,2338,friend
321,1572,acquaintance
2133,1244,acquaintance
741,495,acquaintance
2431,543,acquaintance
1545,887,friend
2241,1832,acquaintance
138,1871,acquaintance
344,2073,friend
1875,1542,friend
2886,1614,acquaintance
1756,1334,friend
1938,2031,acquaintance
1204,883,friend
1989,489,acquaintance
1622,1772,friend
340,2668,acquaintance
1307,1035,acquaintance
2183,488,friend
1811,1915,acquaintance
1201,2832,acquaintance
274,981,friend
2306,233,acquaintance
562,653,acquaintance
2622,2446,acquaintance
2070,1907,acquaintance
2692,1162,best friend
2564,1973,friend
1533,1566,acquaintance
351,2232,acquaintance
1805,1351,acquaintance
1199,2732,friend
251,611,acquaintance
1732,368,friend
2204,496,acquaintance
898,1786,acquaintance
508,980,acquaintance
1631,2950,acquaintance
1723,1252,acquaintance
1418,2140,acquaintance
1603,2794,friend
2306,1907,best friend
504,1801,friend
2053,412,acquaintance
1386,2955,acquaintance
1999,1688,acquaintance
1825,1504,acquaintance
1065,1501,friend
1493,1607,friend
1045,652,acquaintance
1100,2300,acquaintance
894,1307,friend
1503,2199,acquaintance
2138,1915,acquaintance
810,1052,acquaintance
611,2336,acquaintance
1590,2257,friend
572,2592,acquaintance
2706,1659,acquaintance
659,538,friend
2852,1041,acquaintance
1152,2070,acquaintance
115,166,friend
2503,2145,acquaintance
425,1505,acquaintance
2901,830,friend
2120,1979,friend
1145,1797,acquaintance
683,1207,acquaintance
1750,2801,friend
1315,369,acquaintance
1725,2743,acquaintance
138,1520,acquaintance
2255,2550,friend
1138,2302,best friend
2120,2058,acquaintance
2884,321,acquaintance
633,1672,acquaintance
2478,2523,friend
2245,2053,acquaintance
358,1544,friend
2460,1065,friend
2915,1430,acquaintance
960,2680,friend
1915,2277,acquaintance
1957,2325,acquaintance
1888,1066,acquaintance
820,899,acquaintance
2872,2115,friend
1979,65,friend
1725,2892,acquaintance
2162,2236,acquaintance
2024,1545,friend
1616,1823,acquaintance
2509,129,friend
2486,1041,acquaintance
82,1727,acquaintance
1751,759,friend
2707,50,best friend
2820,743,best friend
1683,1766,acquaintance
2533,79,acquaintance
1966,980,acquaintance
1066,1181,friend
1897,562,friend
171,842,acquaintance
160,228,acquaintance
689,1969,acquaintance
2525,1634,friend
210,1012,best friend
2291,1207,acquaintance
2545,2460,acquaintance
547,2406,acquaintance
2057,2227,acquaintance
1579,1252,acquaintance
385,2415,acquaintance
2651,2334,acquaintance
1834,2300,acquaintance
1872,60,friend
1823,2207,friend
2954,1501,friend
2318,740,friend
1669,571,friend
77,2641,acquaintance
2924,2312,friend
2168,495,acquaintance
1351,975,friend
921,1796,acquaintance
353,482,acquaintance
542,1864,friend
260,1311,acquaintance
2306,2406,acquaintance
2624,1465,friend
2364,2857,acquaintance
100,318,acquaintance
1411,1969,acquaintance
1630,1401,friend
251,40,acquaintance
86,362,acquaintance
147,2219,acquaintance
2872,2108,friend
1542,2281,acquaintance
686,1297,acquaintance
2575,2899,acquaintance
1980,62,acquaintance
2431,981,acquaintance
1446,2878,friend
2883,2509,acquaintance
761,2962,friend
173,2818,acquaintance
184,1767,acquaintance
2879,2955,acquaintance
1641,184,acquaintance
1686,2995,acquaintance
2316,995,friend
1290,1461,acquaintance
2133,1658,acquaintance
2518,48,acquaintance
1607,2217,friend
851,2971,acquaintance
247,2614,acquaintance
2115,1602,friend
1053,33,friend
1301,1390,acquaintance
1545,1503,best friend
2140,937,friend
668,361,acquaintance
962,1151,acquaintance
375,2727,acquaintance
2095,1363,friend
1152,2316,acquaintance
1911,1502,acquaintance
1609,2518,friend
1135,290,friend
104,1027,acquaintance
1632,323,acquaintance
251,1331,friend
245,2136,acquaintance
2563,1155,acquaintance
1658,2754,best friend
1397,2732,friend
2533,1881,acquaintance
82,1533,acquaintance
1242,1091,acquaintance
727,86,acquaintance
2495,1733,acquaintance
1204,2325,acquaintance
1099,214,friend
1998,82,best friend
268,2189,acquaintance
1962,1181,acquaintance
805,1027,friend
873,531,acquaintance
2399,554,acquaintance
2078,2954,acquaintance
2821,1994,best friend
2992,1630,friend
2406,1135,acquaintance
948,221,friend
2136,1015,best friend
2892,1100,acquaintance
1577,2354,acquaintance
564,1797,friend
2545,2618,friend
633,1768,friend
454,2326,acquaintance
1479,274,acquaintance
1004,1645,acquaintance
86,1950,friend
633,1750,friend
312,2939,acquaintance
1047,1896,acquaintance
537,1514,friend
1828,1516,acquaintance
534,1781,acquaintance
1381,95,acquaintance
2562,1674,friend
1659,1291,acquaintance
2727,686,friend
2884,1263,acquaintance
2859,483,friend
2334,1863,friend
2357,1718,acquaintance
2596,1140,best friend
2596,2169,acquaintance
1429,821,acquaintance
1888,171,friend
1393,1751,acquaintance
1609,1598,acquaintance
1511,1155,friend
1140,2798,acquaintance
1386,2978,friend
228,2295,acquaintance
1470,1609,best friend
1401,1784,best friend
1241,2836,friend
1345,2562,acquaintance
1881,1315,friend
2706,1277,acquaintance
82,1080,acquaintance
1152,2444,acquaintance
2312,2232,acquaintance
427,1559,acquaintance
2490,2312,acquaintance
466,2354,friend
237,2154,friend
1385,1658,acquaintance
2444,1566,acquaintance
460,399,acquaintance
2126,1335,friend
384,1241,acquaintance
1120,1881,acquaintance
1772,1159,friend
497,1631,friend
38,1836,acquaintance
540,1630,acquaintance
1960,251,friend
38,2823,acquaintance
368,2801,friend
1236,1246,friend
780,100,acquaintance
1980,2878,friend
1300,2227,best friend
2699,355,acquaintance
486,1255,friend
1000,873,acquaintance
1796,77,acquaintance
2743,221,friend
2617,2798,acquaintance
785,1025,acquaintance
2191,1385,acquaintance
1299,2445,acquaintance
785,2342,friend
1509,1713,acquaintance
2826,1688,friend
1326,2406,friend
31,2288,acquaintance
2138,1998,acquaintance
60,1799,friend
856,2622,friend
221,530,acquaintance
2781,1390,friend
1939,2823,acquaintance
2559,2564,friend
537,1785,acquaintance
1608,1651,acquaintance
1788,540,friend
2259,1732,best friend
2472,217,friend
2973,1751,acquaintance
854,1794,acquaintance
2482,1610,acquaintance
1479,254,friend
854,13,friend
793,2750,acquaintance
210,1479,friend
2750,2338,friend
540,1693,acquaintance
1153,398,acquaintance
842,1185,acquaintance
2331,230,friend
2214,2118,acquaintance
824,1757,friend
1891,504,friend
248,2108,acquaintance
491,1658,acquaintance
417,2906,acquaintance
1516,776,acquaintance
2133,489,acquaintance
1606,1950,acquaintance
2747,1234,acquaintance
171,1998,acquaintance
824,1975,acquaintance
2826,1209,acquaintance
1307,2670,friend
1776,2874,acquaintance
336,1624,acquaintance
1781,854,acquaintance
386,1120,acquaintance
1230,1470,best friend
2883,2057,acquaintance
854,883,friend
647,1602,acquaintance
495,1209,friend
2924,1850,best friend
1858,2118,acquaintance
1479,1025,friend
220,1359,acquaintance
2311,1438,acquaintance
571,2257,acquaintance
2001,2945,acquaintance
1000,2992,acquaintance
856,358,acquaintance
2846,858,friend
2778,734,acquaintance
1015,2168,acquaintance
2696,2444,acquaintance
434,1664,best friend
821,1836,friend
2618,1697,friend
795,2525,friend
2887,76,acquaintance
960,1804,best friend
1052,1970,friend
2955,105,acquaintance
2550,1834,acquaintance
2460,2342,acquaintance
2938,1077,acquaintance
1176,2977,friend
822,2028,friend
2592,2318,acquaintance
1029,1735,acquaintance
1566,2031,acquaintance
1817,2931,acquaintance
2219,2879,acquaintance
2927,40,acquaintance
2053,534,acquaintance
933,815,acquaintance
1634,889,acquaintance
2899,2018,acquaintance
1911,761,acquaintance
623,243,friend
676,497,acquaintance
2668,2899,acquaintance
401,760,acquaintance
2955,604,acquaintance
1574,1004,acquaintance
1560,401,acquaintance
732,2950,friend
2847,2071,friend
1045,2839,best friend
1027,1909,friend
1411,1085,friend
2997,1542,best friend
2392,1520,acquaintance
449,1943,friend
2939,2540,friend
1285,2995,acquaintance
1497,2852,acquaintance
2245,2573,acquaintance
2311,554,friend
2399,1277,friend
2533,2057,acquaintance
2732,1004,acquaintance
1502,2420,acquaintance
1850,2450,acquaintance
633,82,acquaintance
1311,230,acquaintance
2375,122,best friend
1294,488,acquaintance
1563,2853,friend
2931,1749,acquaintance
2915,734,acquaintance
1979,2958,acquaintance
2694,1854,acquaintance
2550,1900,acquaintance
2955,1252,acquaintance
2258,1560,acquaintance
845,2338,acquaintance
38,19,acquaintance
2608,2097,acquaintance
732,2978,acquaintance
2207,824,best friend
1723,736,acquaintance
2743,1836,acquaintance
2559,569,acquaintance
847,1899,acquaintance
2724,1788,friend
2859,1572,acquaintance
2390,2159,best friend
1047,1908,acquaintance
580,785,acquaintance
711,564,acquaintance
2887,1534,friend
755,1470,acquaintance
189,254,friend
519,696,best friend
2296,1374,friend
889,2596,acquaintance
2817,2392,friend
275,832,acquaintance
250,1217,friend
1149,386,friend
2490,2259,friend
2818,2331,acquaintance
2078,1563,friend
2684,815,acquaintance
228,1900,acquaintance
949,156,friend
2285,1964,friend
1997,2015,acquaintance
418,564,best friend
1504,353,acquaintance
1162,1152,acquaintance
189,2839,acquaintance
1153,1102,best friend
697,2354,best friend
2575,2379,friend
2097,2614,acquaintance
2617,711,best friend
1909,2140,acquaintance
507,755,acquaintance
1014,2076,friend
659,800,acquaintance
1785,2140,acquaintance
2022,1047,acquaintance
538,2237,acquaintance
1000,1858,acquaintance
1436,312,acquaintance
1397,412,acquaintance
2336,812,acquaintance
1490,759,acquaintance
2154,2903,acquaintance
1749,1751,acquaintance
2219,508,acquaintance
2338,2777,friend
1854,1713,friend
1750,1290,friend
318,547,acquaintance
2563,217,acquaintance
2836,862,acquaintance
1029,258,friend
2438,1892,acquaintance
2861,810,acquaintance
399,2881,acquaintance
922,2232,friend
2406,1991,friend
386,27,acquaintance
1683,1029,acquaintance
858,483,acquaintance
69,2001,friend
1735,2465,friend
237,230,friend
1064,2047,friend
2192,33,acquaintance
2189,879,acquaintance
250,399,acquaintance
2690,2057,acquaintance
1850,2085,acquaintance
1199,2832,acquaintance
1429,2641,friend
740,1151,acquaintance
889,138,acquaintance
0,562,acquaintance
1892,13,best friend
1185,640,acquaintance
2945,65,acquaintance
426,1755,friend
697,2559,friend
2397,539,friend
2446,26,friend
2001,1881,friend
1900,237,friend
2233,1884,acquaintance
1711,1908,acquaintance
306,2318,friend
661,2083,acquaintance
1415,2619,acquaintance
1050,2482,acquaintance
353,1542,acquaintance
41,140,acquaintance
1402,753,acquaintance
2860,2186,friend
2619,482,friend
1907,1518,acquaintance
1172,1871,acquaintance
1610,413,friend
1242,1458,friend
2296,1561,acquaintance
2379,2241,friend
79,1863,acquaintance
326,1035,acquaintance
2237,2313,acquaintance
1825,1853,best friend
268,2488,best friend
1201,948,acquaintance
824,1783,acquaintance
230,2556,acquaintance
2003,1012,friend
2193,1603,acquaintance
2186,2479,friend
697,1733,friend
706,2136,friend
38,1289,acquaintance
1732,2525,acquaintance
1155,1053,acquaintance
454,832,acquaintance
2516,2285,acquaintance
780,2464,friend
542,2978,friend
1331,413,acquaintance
755,1066,best friend
780,197,friend
1172,1832,acquaintance
2268,1825,best friend
168,2287,acquaintance
2325,375,acquaintance
459,2573,acquaintance
412,1297,friend
2569,1534,friend
1025,248,acquaintance
1514,1242,friend
916,1884,acquaintance
454,1899,acquaintance
2641,2902,friend
2312,1289,acquaintance
1284,1888,best friend
1481,105,acquaintance
975,2929,friend
1735,1185,acquaintance
1127,1122,friend
2325,653,friend
2525,1041,acquaintance
2556,50,acquaintance
48,1674,friend
2354,741,acquaintance
1390,1514,acquaintance
1284,2569,best friend
1794,1107,friend
2018,2255,acquaintance
1966,310,friend
2015,1015,friend
1181,274,friend
1201,1085,acquaintance
258,1654,acquaintance
1718,612,friend
948,951,acquaintance
1970,640,acquaintance
2839,1506,friend
2995,210,friend
1252,1221,acquaintance
2703,1393,acquaintance
1297,1491,acquaintance
1102,659,best friend
526,2603,acquaintance
2159,1242,acquaintance
2735,1153,friend
2950,2275,best friend
978,1538,acquaintance
946,173,acquaintance
275,454,friend
1623,1291,acquaintance
540,1805,acquaintance
431,2781,friend
2281,2971,best friend
1159,275,acquaintance
2635,2801,friend
1711,571,acquaintance
534,1957,acquaintance
449,361,acquaintance
1823,640,best friend
1718,539,acquaintance
1082,1482,friend
1460,1896,acquaintance
2657,677,acquaintance
1795,1989,friend
2657,1975,acquaintance
2836,1762,friend
2193,2707,acquaintance
1345,105,friend
780,398,friend
363,166,friend
2832,1518,acquaintance
2549,1374,friend
2786,2336,acquaintance
404,2793,best friend
2886,1029,friend
1031,2832,acquaintance
2199,1446,friend
526,1155,friend
1998,702,acquaintance
665,856,acquaintance
2872,805,friend
2906,1898,acquaintance
1816,879,acquaintance
247,1438,acquaintance
390,1598,acquaintance
753,1299,friend
417,879,acquaintance
1630,1548,acquaintance
1964,2902,acquaintance
2727,210,acquaintance
2247,686,acquaintance
105,321,friend
899,580,best friend
711,2992,best friend
706,1044,acquaintance
2219,2707,friend
633,1181,acquaintance
2295,2721,acquaintance
2661,1366,acquaintance
1455,168,acquaintance
2476,1836,acquaintance
418,336,acquaintance
1915,2945,friend
1850,2747,friend
2530,2364,acquaintance
537,604,friend
2482,2655,acquaintance
1507,916,acquaintance
1980,2058,friend
611,1799,friend
601,741,acquaintance
200,884,friend
100,41,acquaintance
1359,2336,friend
1290,2404,acquaintance
2288,1507,best friend
2325,1413,friend
1511,1413,acquaintance
2249,1168,friend
2540,65,friend
689,27,friend
702,2934,acquaintance
431,1607,best friend
2446,1693,friend
1997,832,acquaintance
853,62,friend
2332,1816,friend
129,765,acquaintance
360,412,friend
466,1590,friend
2588,76,acquaintance
2245,115,acquaintance
1151,823,acquaintance
2818,2193,acquaintance
398,2342,acquaintance
336,362,acquaintance
765,1823,acquaintance
2915,2872,acquaintance
2364,1152,friend
853,2878,friend
2306,200,acquaintance
1241,2129,acquaintance
363,1438,friend
2225,650,acquaintance
1135,2138,acquaintance
1838,1517,acquaintance
1836,2399,friend
2257,250,acquaintance
1246,1727,acquaintance
1234,1297,friend
274,2478,acquaintance
2534,2385,acquaintance
1858,2821,friend
1733,2129,friend
323,431,acquaintance
160,268,friend
1966,978,friend
1162,489,friend
2324,217,friend
2108,842,acquaintance
807,1921,friend
960,404,acquaintance
933,2997,friend
491,365,friend
60,759,friend
1598,1751,acquaintance
168,2724,acquaintance
2661,1749,acquaintance
583,351,friend
2555,2495,friend
1359,1520,friend
351,1727,acquaintance
1788,275,acquaintance
2588,1561,acquaintance
1572,2861,friend
1354,2258,friend
1393,686,acquaintance
2076,45,acquaintance
603,1098,acquaintance
1221,2168,acquaintance
290,2569,acquaintance
2861,417,friend
531,2159,acquaintance
1385,580,friend
975,1757,best friend
702,1496,acquaintance
1091,2707,best friend
1998,326,best friend
2628,740,friend
706,898,friend
289,115,best friend
756,244,acquaintance
2364,1735,best friend
401,2057,friend
495,1861,acquaintance
2237,1801,acquaintance
95,41,acquaintance
248,513,acquaintance
221,173,acquaintance
2692,814,friend
653,2268,friend
260,459,acquaintance
2846,1602,acquaintance
2145,2641,acquaintance
2884,2655,friend
40,734,friend
1896,2155,acquaintance
2837,851,friend
1455,1897,friend
1041,492,acquaintance
2338,1080,friend
1998,948,acquaintance
1374,391,acquaintance
364,2465,friend
852,1076,friend
26,1991,acquaintance
1436,2570,friend
2525,1988,acquaintance
310,2431,acquaintance
672,2878,acquaintance
353,1015,acquaintance
1076,1301,acquaintance
7,1891,friend
693,2655,acquaintance
1480,2479,acquaintance
1326,1025,acquaintance
171,780,friend
2892,587,friend
2342,2316,friend
466,894,acquaintance
693,699,acquaintance
857,743,acquaintance
351,2490,acquaintance
1986,597,acquaintance
883,2806,acquaintance
418,2628,acquaintance
124,867,acquaintance
469,1872,friend
857,1255,acquaintance
2336,983,acquaintance
1884,530,friend
1401,2624,acquaintance
1108,2047,acquaintance
1841,819,friend
980,795,friend
1172,2622,acquaintance
1502,363,acquaintance
362,140,friend
482,394,acquaintance
2513,1755,friend
2116,2264,friend
1979,497,friend
1649,1723,acquaintance
2446,2619,acquaintance
1531,1765,friend
147,761,friend
677,1674,acquaintance
2139,1199,acquaintance
2445,2668,acquaintance
2873,2594,acquaintance
2318,1114,acquaintance
2258,2572,friend
2589,2955,acquaintance
1213,41,acquaintance
2735,805,acquaintance
460,2015,acquaintance
1135,2540,acquaintance
1762,174,acquaintance
1775,1964,friend
391,1315,friend
433,403,acquaintance
2678,1651,acquaintance
650,1898,acquaintance
1506,534,friend
1345,2801,acquaintance
1217,483,acquaintance
200,2873,acquaintance
1964,569,acquaintance
353,2404,acquaintance
2168,812,acquaintance
2199,2906,acquaintance
2995,2798,acquaintance
1204,365,acquaintance
326,263,friend
2945,1559,friend
1436,2694,acquaintance
842,2078,friend
1788,652,acquaintance
856,2820,friend
1430,677,friend
19,2860,friend
538,1168,friend
1509,469,acquaintance
2291,583,friend
2852,459,acquaintance
2861,2614,acquaintance
2031,454,acquaintance
2003,2133,acquaintance
539,2860,friend
298,2799,acquaintance
1669,1950,acquaintance
1149,2837,acquaintance
2899,1645,acquaintance
2958,1015,acquaintance
870,2241,acquaintance
2364,1630,acquaintance
2486,1300,acquaintance
189,2661,friend
1082,1836,acquaintance
1762,2617,friend
2204,353,acquaintance
537,1390,acquaintance
2385,534,acquaintance
124,1291,acquaintance
45,2534,friend
303,2620,friend
171,2556,acquaintance
1544,2159,acquaintance
2621,535,friend
1590,1082,best friend
1152,1470,acquaintance
1899,1632,acquaintance
2721,2978,friend
1041,1559,acquaintance
2302,1735,acquaintance
1913,805,acquaintance
1915,355,acquaintance
1290,1230,friend
336,2361,acquaintance
522,2154,friend
2207,79,acquaintance
228,2146,acquaintance
2302,1217,friend
1168,1207,best friend
538,2768,acquaintance
1654,2495,acquaintance
2229,2120,acquaintance
2594,2159,acquaintance
1514,703,acquaintance
365,1898,acquaintance
1482,2339,friend
2259,2357,best friend
537,776,acquaintance
2377,1865,acquaintance
1495,711,acquaintance
2213,2902,friend
899,793,acquaintance
1788,2860,acquaintance
1816,1239,acquaintance
1201,2945,acquaintance
2015,1521,friend
1602,2482,friend
746,1168,acquaintance
652,2696,acquaintance
2878,1667,acquaintance
303,1786,acquaintance
2924,394,acquaintance
2165,1579,acquaintance
496,2628,best friend
2339,603,acquaintance
248,1602,acquaintance
887,1973,friend
1786,1234,friend
677,819,acquaintance
2397,2057,acquaintance
1665,1902,acquaintance
740,1507,friend
254,603,best friend
1300,642,acquaintance
248,1542,friend
1504,2887,acquaintance
399,115,friend
2290,1598,acquaintance
1823,486,friend
569,297,acquaintance
2450,2390,acquaintance
2047,1098,acquaintance
1735,496,best friend
1127,1560,friend
1390,1755,acquaintance
1447,2189,acquaintance
1632,734,acquaintance
2022,2906,friend
2490,1977,acquaintance
2806,2001,acquaintance
1135,1851,acquaintance
2915,2249,friend
1085,2232,friend
1269,2859,friend
2428,1234,acquaintance
2024,747,friend
445,2747,acquaintance
1085,1496,friend
1851,2661,acquaintance
693,1335,friend
2997,65,friend
1900,1609,acquaintance
523,2190,acquaintance
756,1513,friend
647,2618,friend
2129,1797,friend
2116,2028,acquaintance
2603,852,acquaintance
326,1598,acquaintance
321,147,acquaintance
2428,683,friend
2874,1891,acquaintance
417,2995,acquaintance
2018,1459,acquaintance
2428,1176,friend
2931,433,acquaintance
431,1943,acquaintance
492,2573,acquaintance
1757,2817,acquaintance
1516,365,friend
2495,2618,acquaintance
706,748,friend
2621,2168,acquaintance
2721,1455,acquaintance
2288,1035,acquaintance
1242,1896,friend
2202,1385,acquaintance
1401,1563,friend
1516,2085,acquaintance
1373,1094,best friend
746,1122,acquaintance
851,1950,acquaintance
1098,2287,friend
426,2596,acquaintance
2820,1390,friend
356,321,friend
1436,601,friend
2486,683,friend
2140,2958,friend
1563,538,friend
1091,1465,friend
2743,636,best friend
532,1513,best friend
2033,2973,acquaintance
564,1481,acquaintance
603,2181,acquaintance
2887,1645,acquaintance
2781,1896,acquaintance
2115,702,acquaintance
1418,522,friend
870,2988,acquaintance
104,1609,acquaintance
